UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water_Temp_(Calc) (F),Oil_Temp_(Calc) (F),Oil_Press_(Calc) (psi),Water_Press_(Calc) (psi),Brake_Press_(Calc) ((null))
001212.200,12,17.14,87.0,35°29.340126 N,119°32.673516 W,0,0,0,0,83.16,-0.04,11066.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.25,500,13.3999996185303,0,0.180000007152557,255,69.00,2443,-50.00,24,255,0.10,-0.01,0.00,500.00,4.67999982833862,66.00,2.0,32,156.199996948242,150.800003051758,67.88,1.45,2.61068391799927
001212.300,12,18.06,86.4,35°29.340150 N,119°32.673180 W,0,0,0,0,83.14,-0.04,11166.000,1,0.100,0.49,0.06,0.26,0.00,-0.199357625429173,0.00,0.100,0.25,500,13.5,0,0.219999998807907,255,69.00,2705,-50.00,24,255,0.10,-0.01,0.00,500.00,4.71999979019165,66.00,2.0,32,156.199996948242,150.800003051758,68.46,1.45,3.19083595275879
001212.400,12,18.97,85.9,35°29.340174 N,119°32.672826 W,0,0,0,0,83.13,-0.04,11266.000,1,0.200,1.00,0.05,0.26,0.00,-0.189793336145086,0.00,0.100,0.26,500,13.5,0,0.25,255,69.00,2705,-50.00,24,255,0.10,-0.01,0.00,500.00,4.71999979019165,66.00,2.0,32,156.199996948242,150.800003051758,68.46,1.45,3.62595009803772
001212.500,12,19.88,86.7,35°29.340186 N,119°32.672454 W,0,0,0,0,83.12,-0.04,11366.000,1,0.300,1.54,-0.08,0.26,0.00,-0.181059196298345,0.00,0.100,0.26,500,13.5,0,0.159999996423721,255,69.00,2990,-50.00,24,255,0.10,0.01,-0.02,500.00,4.82999992370605,66.00,0.0,32,156.199996948242,150.800003051758,70.05,1.45,2.32060790061951
001212.600,12,20.81,86.7,35°29.340204 N,119°32.672070 W,0,0,0,0,83.11,-0.04,11466.000,1,0.400,2.11,-0.01,0.26,0.00,-0.173010380622837,109.50,0.100,0.26,500,13.3999996185303,0,0.209999993443489,255,69.00,2990,-50.00,24,255,0.10,0.01,-0.02,500.00,4.80000019073486,66.00,0.0,32,156.199996948242,150.800003051758,69.62,1.45,3.0457980632782
001212.700,12,21.78,85.8,35°29.340234 N,119°32.671668 W,0,0,0,0,83.11,-0.04,11566.000,1,0.500,2.70,0.10,0.28,-0.01,-0.165289256198347,100.43,0.100,0.27,500,13.5,0,0.25,255,69.00,3080,-50.00,24,255,0.10,0.01,-0.02,500.00,4.86999988555908,66.00,-3.0,32,156.199996948242,150.800003051758,70.63,1.45,3.62595009803772
001212.800,12,22.55,86.4,35°29.340258 N,119°32.671248 W,0,0,0,0,83.09,-0.04,11666.000,1,0.600,3.32,-0.06,0.22,-0.01,-0.15966647447554,202.25,0.100,0.24,500,13.5,0,0.28999999165535,255,69.00,3370,-50.00,24,255,0.10,0.01,-0.02,500.00,4.90999984741211,66.00,-3.0,35,156.199996948242,150.800003051758,71.21,1.45,4.20610189437866
001212.900,12,23.62,86.8,35°29.340276 N,119°32.670810 W,0,0,0,0,83.08,0.00,11766.000,1,0.700,3.96,-0.05,0.30,-0.01,0,1000.00,0.100,0.27,500,13.5,0,0.25,255,69.00,3370,-50.00,24,255,0.10,0.00,-0.01,500.00,4.86999988555908,66.00,-3.0,35,156.199996948242,150.800003051758,70.63,1.45,3.62595009803772
001213.000,12,24.55,86.6,35°29.340300 N,119°32.670354 W,0,0,0,0,83.07,0.00,11866.000,1,0.800,4.63,0.02,0.26,-0.01,0,1000.00,0.100,0.27,500,13.5,0,0.25,255,69.00,3491,-50.00,24,255,0.10,0.00,-0.01,500.00,4.84999990463257,66.00,-1.0,35,156.199996948242,150.800003051758,70.34,1.45,3.62595009803772
001213.100,12,25.51,86.4,35°29.340324 N,119°32.669880 W,0,0,0,0,83.06,-0.04,11966.000,1,0.900,5.32,0.02,0.27,-0.01,-0.141121128969032,508.41,0.100,0.27,500,13.5,0,0.28999999165535,255,69.00,3768,-50.00,24,255,0.20,0.00,-0.01,500.00,4.92000007629395,66.00,-1.0,35,156.199996948242,150.800003051758,71.36,2.90,4.20610189437866
