UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water Temp (Calc) (F),Oil Temp (Calc) (F),Oil Press (Calc) (psi),Water Press (Calc) (psi),Brake Press (Calc) ((null))
161052.500,12,16.52,52.6,39°32.447112 N,122°19.910814 W,0,0,0,0,104.62,-0.14,10999.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.20,500,13.6000003814697,0,0.150000005960464,255,78.70,2492,-50.00,43,255,0.40,0.27,-0.19,17.10,4.82999992370605,50.00,-1024.0,23,173.660003662109,122,70.05,5.80,2.17557001113892
161052.600,12,16.93,55.8,39°32.447244 N,122°19.910532 W,0,0,0,0,104.62,-0.11,11099.000,1,0.100,0.46,-0.27,0.12,0.00,-0.637770166528877,0.00,0.100,0.22,500,13.6000003814697,0,0.129999995231628,255,78.70,2492,-50.00,43,255,0.40,0.27,-0.19,17.50,4.80999994277954,50.00,-1024.0,23,173.660003662109,122,69.76,5.80,1.88549399375916
161052.700,12,17.53,58.5,39°32.447376 N,122°19.910226 W,0,0,0,0,104.62,-0.11,11199.000,1,0.200,0.94,-0.23,0.17,-0.01,-0.616262482168331,0.00,0.100,0.24,500,13.6000003814697,0,0.150000005960464,255,78.70,2602,-50.00,43,255,0.40,0.27,-0.19,17.90,4.78999996185303,50.00,-1024.0,23,173.660003662109,122,69.47,5.80,2.17557001113892
161052.800,12,17.97,61.7,39°32.447490 N,122°19.909908 W,0,0,0,0,104.58,-0.14,11299.000,1,0.300,1.44,-0.29,0.13,-0.01,-0.801290968783039,0.00,0.100,0.26,500,13.6000003814697,0,0.159999996423721,255,78.70,2672,-50.00,43,255,0.40,0.27,-0.19,18.10,4.78999996185303,50.00,-1024.0,23,173.660003662109,122,69.47,5.80,2.32060790061951
161052.900,12,18.10,63.8,39°32.447598 N,122°19.909590 W,0,0,0,0,104.55,-0.18,11399.000,1,0.400,1.94,-0.18,0.04,-0.01,-0.994639995579378,9.71,0.100,0.23,500,13.6000003814697,0,0.129999995231628,255,78.70,2672,-50.00,43,255,0.40,0.21,-0.16,18.40,4.82000017166138,50.00,-1024.0,23,173.660003662109,122,69.91,5.80,1.88549399375916
161053.000,12,18.55,66.6,39°32.447694 N,122°19.909248 W,0,0,0,0,104.50,-0.22,11499.000,1,0.500,2.45,-0.26,0.13,-0.02,-1.16460883161697,10.15,0.100,0.24,500,13.6000003814697,0,0.150000005960464,255,78.70,2785,-50.00,43,255,0.40,0.21,-0.16,18.90,4.86999988555908,50.00,-1024.0,23,173.660003662109,122,70.63,5.80,2.17557001113892
161053.100,12,19.25,69.4,39°32.447784 N,122°19.908882 W,0,0,0,0,104.49,-0.25,11599.000,1,0.600,2.97,-0.27,0.20,-0.02,-1.30888692671272,10.75,0.100,0.28,500,13.6000003814697,0,0.200000002980232,255,78.70,2855,-50.00,43,255,0.40,0.21,-0.16,19.60,4.80999994277954,50.00,-1024.0,23,173.660003662109,122,69.76,5.80,2.90075993537903
161053.200,12,19.74,72.2,39°32.447862 N,122°19.908504 W,0,0,0,0,104.46,-0.25,11699.000,1,0.700,3.51,-0.28,0.14,-0.03,-1.27646641677642,11.21,0.100,0.28,500,13.6000003814697,0,0.150000005960464,255,78.70,2855,-50.00,43,255,0.40,0.21,-0.16,20.00,4.88000011444092,50.00,-1024.0,23,173.660003662109,122,70.78,5.80,2.17557001113892
161053.300,12,20.03,74.3,39°32.447928 N,122°19.908126 W,0,0,0,0,104.44,-0.25,11799.000,1,0.800,4.07,-0.21,0.08,-0.04,-1.25811283075387,12.07,0.100,0.26,500,13.6000003814697,0,0.189999997615814,255,78.70,2928,-50.00,43,255,0.40,0.13,-0.16,20.40,4.84999990463257,50.00,-1024.0,23,173.660003662109,122,70.34,5.80,2.75572204589844
161053.400,12,20.79,76.6,39°32.447988 N,122°19.907724 W,0,0,0,0,104.39,-0.29,11899.000,1,0.900,4.63,-0.24,0.21,-0.04,-1.38554796497643,12.76,0.100,0.29,500,13.6000003814697,0,0.159999996423721,255,79.50,3055,-50.00,43,255,0.40,0.13,-0.16,20.90,4.94000005722046,50.00,-1024.0,23,175.100006103516,122,71.65,5.80,2.32060790061951
