UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water_Temp_(Calc) (F),Oil_Temp_(Calc) (F),Oil_Press_(Calc) (psi),Water_Press_(Calc) (psi),Brake_Press_(Calc) ((null))
003100.000,12,16.47,208.7,35°29.348322 N,119°32.694882 W,0,1,0,0,87.45,-0.32,11099.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.11,500,13.6000003814697,0,0.200000002980232,255,75.00,2408,-50.00,45,255,0.40,0.09,-0.15,500.00,3.67000007629395,95.00,-70.0,19,167,203,53.23,5.80,2.90075993537903
003100.100,12,16.51,209.4,35°29.348112 N,119°32.695044 W,0,1,0,0,87.39,-0.32,11199.000,1,0.100,0.46,-0.06,0.01,-0.01,-1.9629225736096,0.00,0.100,0.08,500,13.6000003814697,0,0.230000004172325,255,75.00,2446,-50.00,45,255,0.40,0.03,-0.18,500.00,3.78999996185303,95.00,-61.0,17,167,203,54.97,5.80,3.33587408065796
003100.200,12,17.21,209.6,35°29.347878 N,119°32.695200 W,0,1,0,0,87.42,-0.29,11299.000,1,0.200,0.93,-0.02,0.20,-0.02,-1.67325122007901,0.00,0.100,0.14,500,13.6000003814697,0,0.270000010728836,255,75.00,2496,-50.00,45,255,0.40,0.03,-0.18,500.00,3.77999997138977,95.00,-52.0,17,167,203,54.82,5.80,3.91602611541748
003100.300,12,17.24,210.7,35°29.347656 N,119°32.695374 W,0,1,0,0,87.42,-0.29,11399.000,1,0.300,1.40,-0.10,0.01,-0.03,-1.67053364269142,0.00,0.100,0.09,500,13.6000003814697,0,0.259999990463257,255,75.00,2546,-50.00,45,255,0.40,0.03,-0.18,500.00,3.75,95.00,-31.0,14,167,203,54.39,5.80,3.77098798751831
003100.400,12,17.49,211.1,35°29.347428 N,119°32.695542 W,0,1,0,0,87.43,-0.25,11499.000,1,0.400,1.89,-0.03,0.07,-0.03,-1.44065858678253,43.48,0.100,0.09,500,13.6000003814697,0,0.25,255,75.00,2546,-50.00,45,255,0.40,0.03,-0.18,500.00,3.84999990463257,95.00,-31.0,14,167,203,55.84,5.80,3.62595009803772
003100.500,12,17.77,211.3,35°29.347206 N,119°32.695722 W,0,1,0,0,87.43,-0.25,11599.000,1,0.500,2.38,-0.02,0.08,-0.04,-1.41812042768711,49.57,0.100,0.09,500,13.6000003814697,0,0.280000001192093,255,75.00,2562,-50.00,45,255,0.40,-0.09,-0.21,500.00,3.84999990463257,95.00,-20.0,14,167,203,55.84,5.80,4.06106376647949
003100.600,12,17.90,212.1,35°29.346978 N,119°32.695902 W,0,1,0,0,87.42,-0.25,11699.000,1,0.600,2.87,-0.07,0.04,-0.05,-1.40813589628967,49.10,0.100,0.08,500,13.6000003814697,0,0.209999993443489,255,75.00,2580,-50.00,45,255,0.40,-0.09,-0.21,500.00,3.92000007629395,95.00,2.0,13,167,203,56.85,5.80,3.0457980632782
003100.700,12,17.91,212.4,35°29.346750 N,119°32.696082 W,0,1,0,0,87.43,-0.22,11799.000,1,0.700,3.37,-0.03,0.01,-0.06,-1.20576085742994,54.35,0.100,0.06,500,13.6000003814697,0,0.200000002980232,255,75.00,2580,-50.00,45,255,0.40,-0.09,-0.21,500.00,3.95000004768372,95.00,15.0,13,167,203,57.29,5.80,2.90075993537903
003100.800,12,17.73,212.1,35°29.346534 N,119°32.696268 W,0,1,0,0,87.39,-0.18,11899.000,1,0.800,3.86,0.02,-0.05,-0.06,-1.01499943611142,71.30,0.100,0.04,500,13.6000003814697,0,0.259999990463257,255,75.00,2580,-50.00,45,255,0.40,-0.09,-0.21,500.00,3.97000002861023,95.00,15.0,13,167,203,57.58,5.80,3.77098798751831
003100.900,12,18.02,212.3,35°29.346318 N,119°32.696460 W,0,1,0,0,87.32,-0.18,11999.000,1,0.900,4.36,-0.02,0.08,-0.07,-0.999000999000999,73.56,0.100,0.05,500,13.6000003814697,0,0.239999994635582,255,75.00,2578,-50.00,45,255,0.40,-0.06,-0.27,500.00,3.95000004768372,95.00,38.0,13,167,203,57.29,5.80,3.48091197013855
003101.000,12,17.81,211.9,35°29.346096 N,119°32.696640 W,0,1,0,0,87.28,-0.14,12099.000,1,1.000,4.86,0.04,-0.06,-0.07,-0.808579931495311,170.45,0.100,0.02,500,13.6000003814697,0,0.230000004172325,255,74.20,2570,-50.00,45,255,0.40,-0.06,-0.27,500.00,3.86999988555908,95.00,49.0,13,165.559997558594,203,56.13,5.80,3.33587408065796
003101.100,12,17.84,211.4,35°29.345880 N,119°32.696820 W,0,1,0,0,87.22,-0.14,12199.000,1,1.100,5.35,0.04,0.01,-0.08,-0.807084407577626,738.94,0.100,0.01,500,13.6000003814697,0,0.330000013113022,255,74.20,2561,-50.00,45,255,0.40,-0.06,-0.27,500.00,3.78999996185303,95.00,49.0,13,165.559997558594,203,54.97,5.80,4.78625392913818
003101.200,12,17.88,211.6,35°29.345658 N,119°32.697006 W,0,1,0,0,87.19,-0.11,12299.000,1,1.200,5.85,-0.02,0.01,-0.08,-0.603993065264806,796.84,0.100,0.01,500,13.6000003814697,0,0.25,255,74.20,2561,-50.00,45,255,0.40,-0.06,-0.27,500.00,3.84999990463257,95.00,60.0,15,165.559997558594,203,55.84,5.80,3.62595009803772
003101.300,12,17.71,210.7,35°29.345436 N,119°32.697180 W,0,1,0,0,87.11,-0.14,12399.000,1,1.300,6.34,0.08,-0.05,-0.09,-0.813008130081301,144.67,0.100,0.02,500,13.6000003814697,0,0.209999993443489,255,74.20,2568,-50.00,45,255,0.40,-0.11,-0.27,500.00,3.95000004768372,95.00,79.0,15,165.559997558594,203,57.29,5.80,3.0457980632782
003101.400,12,17.87,209.6,35°29.345208 N,119°32.697348 W,0,1,0,0,87.06,-0.14,12499.000,1,1.400,6.84,0.10,0.05,-0.09,-0.80563947633434,71.68,0.100,0.03,500,13.6000003814697,0,0.219999998807907,255,74.20,2565,-50.00,45,255,0.40,-0.11,-0.27,500.00,3.88000011444092,95.00,87.0,15,165.559997558594,203,56.27,5.80,3.19083595275879
003101.500,12,17.91,209.4,35°29.344974 N,119°32.697510 W,0,1,0,0,87.09,-0.11,12599.000,1,1.500,7.34,0.02,0.01,-0.10,-0.602880428714971,72.55,0.100,0.03,500,13.6000003814697,0,0.310000002384186,255,74.20,2565,-50.00,45,255,0.40,-0.11,-0.27,500.00,3.91000008583069,95.00,113.0,15,165.559997558594,203,56.71,5.80,4.496178150177
003101.600,12,17.77,208.2,35°29.344734 N,119°32.697654 W,0,1,0,0,87.07,-0.14,12699.000,1,1.600,7.83,0.10,-0.04,-0.10,-0.810536980749747,48.51,0.100,0.04,500,13.6000003814697,0,0.239999994635582,255,74.20,2563,-50.00,45,255,0.40,-0.11,-0.27,500.00,3.91000008583069,95.00,113.0,15,165.559997558594,203,56.71,5.80,3.48091197013855
003101.700,12,17.90,207.6,35°29.344488 N,119°32.697804 W,0,1,0,0,87.11,-0.07,12799.000,1,1.700,8.33,0.06,0.04,-0.10,-0.40232454179705,46.07,0.100,0.05,500,13.6000003814697,0,0.200000002980232,255,74.20,2572,-50.00,45,255,0.40,-0.19,-0.28,500.00,3.80999994277954,95.00,126.0,15,165.559997558594,203,55.26,5.80,2.90075993537903
