UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Avi sync time (s),Avi file index,Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Gradient (%),Radius of turn (m),sampleperiod (s),ComboAcc (g),Air Fuel Ratio ((null)),Battery Voltage (V),Brake Position (%),Brake Pressure (bar),Clutch Position (%),Coolant Temperature (°C),Engine Speed (rpm),Exhaust Temperature (°C),Fuel Level (%),Gear ((null)),Head Temperature (°C),Indicated Lateral Acceleration (g),Indicated Longitudinal Acceleration (g),Indicated Vehicle Speed (km/h),Oil Pressure (bar),Oil Temperature (°C),Steering Angle (Degrees),Throttle Position (%),Water_Temp_(Calc) (F),Oil_Temp_(Calc) (F),Oil_Press_(Calc) (psi),Water_Press_(Calc) (psi),Brake_Press_(Calc) ((null))
003338.800,12,16.41,252.7,35°29.350542 N,119°32.694438 W,0,1,0,0,80.54,-0.36,11066.000,1,0.000,0.00,0.00,0.00,0.00,0,0.00,0.100,0.22,500,13.3999996185303,0,0.280000001192093,255,81.70,2343,-50.00,17,255,0.40,-0.20,-0.28,500.00,2.8199999332428,92.00,239.0,15,179.059997558594,197.600006103516,40.90,5.80,4.06106376647949
003338.900,12,16.68,249.7,35°29.350440 N,119°32.694732 W,0,1,0,0,80.53,-0.32,11166.000,1,0.100,0.46,0.24,0.08,-0.01,-1.94302848575712,0.00,0.100,0.23,500,13.3999996185303,0,0.209999993443489,255,81.70,2343,-50.00,17,255,0.40,-0.19,-0.25,500.00,2.9300000667572,92.00,223.0,15,179.059997558594,197.600006103516,42.50,5.80,3.0457980632782
003339.000,12,16.61,247.2,35°29.350332 N,119°32.695014 W,0,1,0,0,80.52,-0.32,11266.000,1,0.200,0.92,0.21,-0.02,-0.02,-1.95063214930765,0.00,0.100,0.22,500,13.3999996185303,0,0.219999998807907,255,81.70,2376,-50.00,17,255,0.40,-0.19,-0.25,500.00,2.99000000953674,92.00,217.0,15,179.059997558594,197.600006103516,43.37,5.80,3.19083595275879
003339.100,12,16.99,245.3,35°29.350212 N,119°32.695302 W,0,1,0,0,80.52,-0.32,11366.000,1,0.300,1.39,0.16,0.11,-0.03,-1.90756549896968,0.00,0.100,0.22,500,13.3999996185303,0,0.280000001192093,255,81.70,2376,-50.00,17,255,0.40,-0.19,-0.25,500.00,2.99000000953674,92.00,207.0,14,179.059997558594,197.600006103516,43.37,5.80,4.06106376647949
003339.200,12,16.82,243.5,35°29.350092 N,119°32.695578 W,0,1,0,0,80.51,-0.32,11466.000,1,0.400,1.86,0.15,-0.05,-0.04,-1.92593473221185,10.40,0.100,0.20,500,13.3999996185303,0,0.189999997615814,255,81.70,2382,-50.00,17,255,0.40,-0.19,-0.25,500.00,3.02999997138977,92.00,207.0,14,179.059997558594,197.600006103516,43.95,5.80,2.75572204589844
003339.300,12,16.92,241.8,35°29.349960 N,119°32.695854 W,0,1,0,0,80.50,-0.32,11566.000,1,0.500,2.33,0.14,0.03,-0.05,-1.91444103048925,11.23,0.100,0.19,500,13.3999996185303,0,0.200000002980232,255,81.70,2405,-50.00,17,255,0.40,-0.19,-0.26,500.00,3.00999999046326,92.00,203.0,12,179.059997558594,197.600006103516,43.66,5.80,2.90075993537903
003339.400,12,16.65,239.4,35°29.349816 N,119°32.696118 W,0,1,0,0,80.52,-0.29,11666.000,1,0.600,2.79,0.20,-0.08,-0.05,-1.72931427885193,11.43,0.100,0.19,500,13.3999996185303,0,0.200000002980232,255,81.70,2397,-50.00,17,255,0.40,-0.19,-0.26,500.00,3.01999998092651,92.00,198.0,11,179.059997558594,197.600006103516,43.80,5.80,2.90075993537903
003339.500,12,16.90,235.9,35°29.349654 N,119°32.696364 W,0,1,0,0,80.53,-0.25,11766.000,1,0.700,3.26,0.29,0.07,-0.06,-1.49156555193844,11.22,0.100,0.21,500,13.3999996185303,0,0.200000002980232,255,81.70,2400,-50.00,17,255,0.40,-0.19,-0.26,500.00,3.01999998092651,92.00,194.0,11,179.059997558594,197.600006103516,43.80,5.80,2.90075993537903
003339.600,12,16.78,234.1,35°29.349498 N,119°32.696616 W,0,1,0,0,80.53,-0.22,11866.000,1,0.800,3.73,0.15,-0.03,-0.07,-1.28724672228844,11.95,0.100,0.20,500,13.5,0,0.230000004172325,255,81.70,2400,-50.00,17,255,0.40,-0.19,-0.26,500.00,3,92.00,193.0,11,179.059997558594,197.600006103516,43.51,5.80,3.33587408065796
003339.700,12,16.59,232.4,35°29.349330 N,119°32.696856 W,0,1,0,0,80.54,-0.14,11966.000,1,0.900,4.19,0.14,-0.06,-0.08,-0.868254446789267,12.46,0.100,0.19,500,13.5,0,0.200000002980232,255,81.70,2388,-50.00,17,255,0.40,-0.21,-0.32,500.00,2.97000002861023,92.00,193.0,11,179.059997558594,197.600006103516,43.08,5.80,2.90075993537903
